Time,Agent,x,y,z,Action
00:00:02,1,2.2,4.7,0.505,Laundry_Laundry,
00:00:04,1,0.8597369,9.204773,0.505,Laundry_Laundry,
00:00:07,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:00:10,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:00:12,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:00:15,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:00:25,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:00:27,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:00:29,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:00:32,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:00:34,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:00:36,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:00:39,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:00:42,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:00:45,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:00:47,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:00:50,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:00:53,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:00:55,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:00:57,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:01:00,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:01:07,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:01:13,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:01:15,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:01:26,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:01:29,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:01:31,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:01:38,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:01:41,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:01:43,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:01:46,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:01:48,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:01:51,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:01:53,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:01:56,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:01:58,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:02:00,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:02:03,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:02:05,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:02:13,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:02:16,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:02:18,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:02:21,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:02:30,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:02:33,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:02:36,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:02:42,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:02:45,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:02:47,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:02:50,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:02:52,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:02:55,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:03:00,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:03:03,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:03:05,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:03:08,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:03:11,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:03:13,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:03:20,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:03:22,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:03:25,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:03:27,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:03:29,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:03:32,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:03:34,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:03:36,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:03:39,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:03:41,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:03:44,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:03:46,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:03:49,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:03:56,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:04:04,1,0.2724125,8.98,0.505,Laundry_Laundry,
00:04:14,1,0.2724125,8.98,0.505,Laundry_Laundry,
