Time,Agent,x,y,z,Action
00:00:06,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:14,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:16,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:19,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:36,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:39,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:46,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:01:10,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:01:17,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:01:20,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:01:33,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:01:42,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:01:48,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:01:56,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:06,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:12,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:18,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:21,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:43,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:46,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:52,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:03:00,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:03:02,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:03:04,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:03:07,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:03:10,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:03:16,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:03:22,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:03:25,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:03:32,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:03:38,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:03:41,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:03:48,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:03:55,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:03:57,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:04:03,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:04:06,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:04:09,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:04:11,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:04:14,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:04:16,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:04:22,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:04:24,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:04:27,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:04:30,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:04:36,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:04:47,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:04:54,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:04:56,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:04:59,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:05:01,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:05:07,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:05:10,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:05:13,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:05:16,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:05:18,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:05:21,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:05:27,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:05:30,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:05:32,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:05:42,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:05:45,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:05:47,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:05:53,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:05:56,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:05:58,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:06:01,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:06:03,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:06:13,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:06:16,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:06:18,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:06:25,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:06:27,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:06:30,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:06:32,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:06:35,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:06:48,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:06:56,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:06:58,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:07:01,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:07:03,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:07:17,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:07:20,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:07:22,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:07:32,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:07:35,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:07:37,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:07:48,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:07:51,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:07:53,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:07:56,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:07:58,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:08:09,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:08:12,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:08:28,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:08:31,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:08:33,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:08:36,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:08:38,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:08:41,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:08:48,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:08:51,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:08:53,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:08:56,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:08:58,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:09:01,1,3.035988,5.022054,0.505,Exercise_Exercise,
