Time,Agent,x,y,z,Action
00:00:02,1,1.997058,6.604537,0.505,Grab_Ingredients_Grab_Ingredients,
00:00:04,1,1.418336,10.08,0.505,Grab_Ingredients_Grab_Ingredients,
00:00:06,1,1.569528,10.08,0.505,Grab_Ingredients_Grab_Ingredients,
00:00:09,1,3.01147,5.78564,0.505,Grab_Ingredients_Grab_Ingredients,
00:00:15,1,1.6,10.08,0.505,Grab_Ingredients_Grab_Ingredients,
00:00:18,1,2.04,9.62,0.505,Grab_Ingredients_Grab_Ingredients,
00:00:20,1,2.04,9.62,0.505,Grab_Ingredients_Grab_Ingredients,
00:00:23,1,2.04,9.62,0.505,Grab_Ingredients_Grab_Ingredients,
00:00:25,1,2.04,9.62,0.505,Grab_Ingredients_Grab_Ingredients,
00:00:37,1,2.04,9.62,0.505,Grab_Ingredients_Grab_Ingredients,
00:00:40,1,2.04,9.62,0.505,Grab_Ingredients_Grab_Ingredients,
00:00:46,1,2.04,9.62,0.505,Grab_Ingredients_Grab_Ingredients,
00:00:48,1,2.04,9.62,0.505,Grab_Ingredients_Grab_Ingredients,
00:00:51,1,2.04,9.62,0.505,Grab_Ingredients_Grab_Ingredients,
00:00:53,1,2.04,9.62,0.505,Grab_Ingredients_Grab_Ingredients,
00:00:56,1,2.04,9.62,0.505,Grab_Ingredients_Grab_Ingredients,
00:00:58,1,2.04,9.62,0.505,Grab_Ingredients_Grab_Ingredients,
00:01:01,1,2.04,9.62,0.505,Grab_Ingredients_Grab_Ingredients,
00:01:03,1,2.04,9.62,0.505,Grab_Ingredients_Grab_Ingredients,
00:01:06,1,2.04,9.62,0.505,Grab_Ingredients_Grab_Ingredients,
00:01:08,1,2.04,9.62,0.505,Grab_Ingredients_Grab_Ingredients,
00:01:11,1,2.04,9.62,0.505,Grab_Ingredients_Grab_Ingredients,
00:01:13,1,2.04,9.62,0.505,Grab_Ingredients_Grab_Ingredients,
00:01:16,1,2.04,9.62,0.505,Grab_Ingredients_Grab_Ingredients,
00:01:34,1,2.04,9.62,0.505,Grab_Ingredients_Grab_Ingredients,
00:01:36,1,2.04,9.62,0.505,Grab_Ingredients_Grab_Ingredients,
00:01:39,1,2.04,9.62,0.505,Grab_Ingredients_Grab_Ingredients,
00:01:42,1,2.04,9.62,0.505,Grab_Ingredients_Grab_Ingredients,
00:01:44,1,1.94,7.959012,0.505,Make_Tea_Make_Tea,
00:01:47,1,1.94,4.771435,0.505,Make_Tea_Make_Tea,
00:01:53,1,1.6,10.04732,0.505,Make_Tea_Make_Tea,
00:01:56,1,2.248603,6.354033,0.505,Make_Tea_Make_Tea,
00:01:58,1,2.613987,7.200407,0.505,Make_Tea_Make_Tea,
00:02:01,1,0.7600001,8.1,0.505,Make_Tea_Make_Tea,
00:02:03,1,3.827439,8.685814,0.505,Make_Tea_Make_Tea,
00:02:06,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:02:08,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:02:11,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:02:13,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:02:15,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:02:18,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:02:21,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:02:23,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:02:26,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:02:29,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:02:31,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:02:34,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:02:37,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:02:39,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:02:46,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:02:48,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:02:51,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:02:53,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:02:56,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:02:58,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:03:01,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:03:03,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:03:06,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:03:08,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:03:11,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:03:13,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:03:16,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:03:18,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:03:21,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:03:23,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:03:26,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:03:28,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:03:31,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:03:33,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:03:36,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:03:38,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:03:41,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:03:44,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:03:46,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:03:58,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:04:00,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:04:07,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:04:10,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:04:12,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:04:15,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:04:17,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:04:20,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:04:22,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:04:35,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:04:37,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:04:40,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:04:42,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:04:45,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:04:51,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:04:53,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:04:56,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:04:59,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:05:02,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:05:15,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
00:05:18,1,5.28,8.277742,0.5050001,Make_Tea_Make_Tea,
