Time,Agent,x,y,z,Action
00:00:02,1,4.175934,1.933658,0.5052,Exercise_Exercise,
00:00:04,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:00:06,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:00:09,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:00:11,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:00:13,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:00:16,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:00:18,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:00:20,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:00:22,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:00:25,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:00:27,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:00:29,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:00:31,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:00:34,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:00:36,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:00:38,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:00:41,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:00:43,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:00:45,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:00:48,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:00:50,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:00:52,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:00:54,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:00:57,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:00:59,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:01:01,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:01:04,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:01:06,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:01:08,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:01:11,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:01:13,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:01:15,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:01:18,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:01:20,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:01:22,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:01:25,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:01:27,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:01:29,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:01:32,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:01:34,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:01:36,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:01:39,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:01:41,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:01:43,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:01:45,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:01:48,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:01:50,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:01:52,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:01:54,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:01:57,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:01:59,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:02:01,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:02:04,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:02:06,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:02:08,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:02:11,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:02:13,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:02:15,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:02:17,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:02:20,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:02:22,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:02:24,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:02:26,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:02:29,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:02:31,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:02:33,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:02:36,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:02:38,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:02:40,1,3.983049,1.1,0.5052,Exercise_Exercise,
00:02:42,1,3.983049,1.1,0.5052,Exercise_Exercise,
