Time,Agent,x,y,z,Action
00:00:02,1,2.618958,6.537767,0.5052,Grab_Ingredients_Grab_Ingredients,
00:00:04,1,1.124631,7.374539,0.5052,Grab_Ingredients_Grab_Ingredients,
00:00:07,1,1.124631,7.374539,0.5052,Grab_Ingredients_Grab_Ingredients,
00:00:09,1,1.124631,7.374539,0.5052,Grab_Ingredients_Grab_Ingredients,
00:00:12,1,1.124631,7.374539,0.5052,Grab_Ingredients_Grab_Ingredients,
00:00:14,1,1.124631,7.374539,0.5052,Grab_Ingredients_Grab_Ingredients,
00:00:17,1,1.124631,7.374539,0.5052,Grab_Ingredients_Grab_Ingredients,
00:00:19,1,1.124631,7.374539,0.5052,Grab_Ingredients_Grab_Ingredients,
00:00:21,1,1.124631,7.374539,0.5052,Grab_Ingredients_Grab_Ingredients,
00:00:24,1,1.124631,7.374539,0.5052,Grab_Ingredients_Grab_Ingredients,
00:00:26,1,1.124631,7.374539,0.5052,Grab_Ingredients_Grab_Ingredients,
00:00:29,1,1.124631,7.374539,0.5052,Grab_Ingredients_Grab_Ingredients,
00:00:31,1,1.124631,7.374539,0.5052,Grab_Ingredients_Grab_Ingredients,
00:00:34,1,1.124631,7.374539,0.5052,Grab_Ingredients_Grab_Ingredients,
00:00:36,1,1.124631,7.374539,0.5052,Grab_Ingredients_Grab_Ingredients,
00:00:39,1,1.124631,7.374539,0.5052,Grab_Ingredients_Grab_Ingredients,
00:00:41,1,1.124631,7.374539,0.5052,Grab_Ingredients_Grab_Ingredients,
00:00:44,1,1.124631,7.374539,0.5052,Grab_Ingredients_Grab_Ingredients,
00:00:46,1,1.124631,7.374539,0.5052,Grab_Ingredients_Grab_Ingredients,
00:00:48,1,1.124631,7.374539,0.5052,Grab_Ingredients_Grab_Ingredients,
00:00:51,1,1.124631,7.374539,0.5052,Grab_Ingredients_Grab_Ingredients,
00:00:53,1,1.124631,7.374539,0.5052,Grab_Ingredients_Grab_Ingredients,
00:00:56,1,1.124631,7.374539,0.5052,Grab_Ingredients_Grab_Ingredients,
00:00:58,1,1.124631,7.374539,0.5052,Grab_Ingredients_Grab_Ingredients,
00:01:00,1,1.124631,7.374539,0.5052,Grab_Ingredients_Grab_Ingredients,
