Time,Agent,x,y,z,Action
00:00:02,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:00:05,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:00:07,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:00:09,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:00:12,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:00:14,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:00:17,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:00:22,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:00:29,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:00:32,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:00:34,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:00:36,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:00:39,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:00:41,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:00:44,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:00:47,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:00:49,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:00:52,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:00:54,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:00:57,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:00:59,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:01:01,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:01:04,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:01:07,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:01:09,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:01:12,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:01:14,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:01:17,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:01:19,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:01:22,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:01:24,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:01:27,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:01:29,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:01:32,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:01:34,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:01:37,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:01:39,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:01:42,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:01:45,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:01:47,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:01:49,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:01:52,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:01:55,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:01:57,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:01:59,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:02:02,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:02:04,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:02:06,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:02:09,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:02:11,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:02:13,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:02:16,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:02:19,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:02:21,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:02:23,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:02:26,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:02:29,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:02:31,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:02:34,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:02:36,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:02:39,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:02:41,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:02:44,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:02:46,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:02:49,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:02:51,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:02:54,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:02:56,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:02:58,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:03:00,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:03:03,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:03:05,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:03:07,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:03:10,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:03:13,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:03:16,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:03:18,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:03:21,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:03:23,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:03:26,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:03:29,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:03:31,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:03:34,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:03:36,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:03:44,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:03:46,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:03:49,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:04:19,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:04:31,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:05:22,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:05:28,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:05:31,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:05:37,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:05:48,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:05:51,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:05:59,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:06:06,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:06:12,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:06:14,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:06:16,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:06:19,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:06:25,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:06:28,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:06:55,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:06:57,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:07:11,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:07:14,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:07:16,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:07:19,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:07:21,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:07:23,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:07:26,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:07:29,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:07:31,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:07:34,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:07:37,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:07:39,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:07:42,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:07:44,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:07:46,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:07:49,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:07:51,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:07:54,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:07:56,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:07:58,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:08:01,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:08:06,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:08:09,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:08:12,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:08:14,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:08:17,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:08:19,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:08:22,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:08:24,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:08:27,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:08:30,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:08:33,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:08:35,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:08:38,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:08:40,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:08:43,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:08:45,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:08:48,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:08:50,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:08:53,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:08:55,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:08:58,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:09:00,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:09:03,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:09:05,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:09:08,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:09:10,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:09:13,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:09:15,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:09:18,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:09:21,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:09:23,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:09:26,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:09:32,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:09:35,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:09:37,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:09:39,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:10:05,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:10:08,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:10:10,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:10:13,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:10:15,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:10:18,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:10:20,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:10:23,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:10:25,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:10:28,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:10:30,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:10:33,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:10:35,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:10:38,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:10:40,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:10:43,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:10:45,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:10:48,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:10:50,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:10:53,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:10:55,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:10:57,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:10:59,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:11:06,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:11:08,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:11:11,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:11:21,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:11:23,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:11:25,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:11:32,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:11:38,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:11:40,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:11:42,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:11:45,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:11:48,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:11:50,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:11:53,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:11:55,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:11:58,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:12:00,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:12:02,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:12:05,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:12:08,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:12:10,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:12:13,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:12:19,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:12:27,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:12:30,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:12:32,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:12:34,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:12:37,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:12:40,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:12:42,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:12:44,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:12:47,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:12:50,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:12:52,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:12:55,1,0.8999554,2.64,0.505,Sleep_Sleep,
00:12:57,1,0.8999554,2.64,0.505,Sleep_Sleep,
