Time,Agent,x,y,z,Action
00:00:02,1,1.302275,8.007534,0.505,Prepare,
00:00:06,1,0.9400002,9.342283,0.505,Prepare,
00:00:09,1,0.9400002,9.342283,0.505,Prepare,
00:00:24,1,0.9400002,9.342283,0.505,Prepare,
00:00:43,1,4.04,5.86,0.515,Start Session,
00:00:46,1,4.04,5.86,0.515,Start Session,
00:00:54,1,4.04,5.86,0.515,Start Session,
00:01:54,1,4.04,5.86,0.515,Start Session,
00:01:57,1,4.04,5.86,0.515,Start Session,
00:02:00,1,4.04,5.86,0.515,Start Session,
00:02:03,1,4.04,5.86,0.515,Start Session,
00:02:06,1,4.04,5.86,0.515,Start Session,
00:02:13,1,4.04,5.86,0.515,Start Session,
00:02:16,1,4.04,5.86,0.515,Start Session,
00:02:19,1,4.04,5.86,0.515,Start Session,
00:02:22,1,4.04,5.86,0.515,Start Session,
00:02:25,1,4.04,5.86,0.515,Start Session,
00:02:28,1,4.04,5.86,0.515,Start Session,
00:02:39,1,4.04,5.86,0.515,Start Session,
00:02:46,1,4.04,5.86,0.515,Start Session,
00:02:49,1,4.04,5.86,0.515,Start Session,
00:03:00,1,4.04,5.86,0.515,Start Session,
00:03:07,1,4.04,5.86,0.515,Start Session,
00:03:13,1,4.04,5.86,0.515,Start Session,
00:03:16,1,4.04,5.86,0.515,Start Session,
00:03:19,1,4.04,5.86,0.515,Start Session,
00:03:30,1,4.04,5.86,0.515,Start Session,
00:03:36,1,4.04,5.86,0.515,Start Session,
00:03:39,1,4.04,5.86,0.515,Start Session,
00:03:42,1,4.04,5.86,0.515,Start Session,
00:03:45,1,4.04,5.86,0.515,Start Session,
00:03:48,1,4.04,5.86,0.515,Start Session,
00:03:51,1,4.04,5.86,0.515,Start Session,
00:03:58,1,4.04,5.86,0.515,Start Session,
00:04:13,1,4.04,5.86,0.515,Start Session,
00:04:16,1,4.04,5.86,0.515,Start Session,
00:04:19,1,4.04,5.86,0.515,Start Session,
00:04:22,1,4.04,5.86,0.515,Start Session,
00:04:29,1,4.04,5.86,0.515,Start Session,
00:04:32,1,4.04,5.86,0.515,Start Session,
00:04:35,1,4.04,5.86,0.515,Start Session,
00:04:38,1,4.04,5.86,0.515,Start Session,
00:04:53,1,4.04,5.86,0.515,Start Session,
00:05:03,1,4.04,5.86,0.515,Start Session,
00:05:10,1,0.1905982,5.714671,0.505,Toilet,
00:05:13,1,0.1905982,5.714671,0.505,Toilet,
00:05:20,1,0.1905982,5.714671,0.505,Toilet,
00:05:27,1,0.1905982,5.714671,0.505,Toilet,
00:05:42,1,0.1905982,5.714671,0.505,Toilet,
00:05:49,1,0.1905982,5.714671,0.505,Toilet,
00:05:52,1,0.1905982,5.714671,0.505,Toilet,
00:05:55,1,0.1905982,5.714671,0.505,Toilet,
00:06:06,1,0.1905982,5.714671,0.505,Toilet,
00:06:21,1,4.369815,4.298019,0.505,Sit,
00:06:36,1,6.02,4.6,0.505,Sit,
00:06:46,1,4.920132,4.42735,0.505,Sit,
00:07:05,1,1.623533,0.72,0.505,Sit,
00:07:08,1,1.623533,0.72,0.505,Sit,
00:07:15,1,1.623533,0.72,0.505,Sit,
00:07:18,1,1.623533,0.72,0.505,Sit,
00:07:21,1,1.623533,0.72,0.505,Sit,
00:07:24,1,1.623533,0.72,0.505,Sit,
00:07:33,1,1.623533,0.72,0.505,Sit,
00:07:36,1,1.623533,0.72,0.505,Sit,
00:07:39,1,1.623533,0.72,0.505,Sit,
00:07:42,1,1.623533,0.72,0.505,Sit,
00:07:49,1,1.623533,0.72,0.505,Sit,
00:07:56,1,1.623533,0.72,0.505,Sit,
00:08:02,1,3.48,5.66,0.505,Bath,
00:08:09,1,0.5868545,5.86,0.505,Bath,
00:08:12,1,0.5868545,5.86,0.505,Bath,
00:08:15,1,0.5868545,5.86,0.505,Bath,
00:08:18,1,0.5868545,5.86,0.505,Bath,
00:08:25,1,0.5868545,5.86,0.505,Bath,
00:08:28,1,0.5868545,5.86,0.505,Bath,
00:08:39,1,0.5868545,5.86,0.505,Bath,
00:08:43,1,0.5868545,5.86,0.505,Bath,
00:08:49,1,0.5868545,5.86,0.505,Bath,
00:08:56,1,0.5868545,5.86,0.505,Bath,
00:09:02,1,0.5868545,5.86,0.505,Bath,
00:09:05,1,0.5868545,5.86,0.505,Bath,
00:09:08,1,0.5868545,5.86,0.505,Bath,
00:09:14,1,0.5868545,5.86,0.505,Bath,
00:09:17,1,0.5868545,5.86,0.505,Bath,
00:09:28,1,0.5868545,5.86,0.505,Bath,
00:09:43,1,0.5868545,5.86,0.505,Bath,
00:09:50,1,0.5868545,5.86,0.505,Bath,
00:09:57,1,0.5868545,5.86,0.505,Bath,
00:10:03,1,0.5868545,5.86,0.505,Bath,
00:10:10,1,2.34,-0.05999994,0.505,wash,
00:10:22,1,0.6200001,4.325811,0.505,wash,
00:10:25,1,0.6200001,4.325811,0.505,wash,
00:10:32,1,0.6200001,4.325811,0.505,wash,
00:10:39,1,0.6200001,4.325811,0.505,wash,
00:10:42,1,0.6200001,4.325811,0.505,wash,
00:10:45,1,0.6200001,4.325811,0.505,wash,
00:10:48,1,3.91355,5.987958,0.509685,Pick Up Tablet,
00:10:59,1,4.438079,3.043924,0.505,Work with Tablet,
00:11:05,1,5.410381,2.228981,0.505,Work with Tablet,
00:11:08,1,5.410381,2.228981,0.505,Work with Tablet,
00:11:11,1,5.410381,2.228981,0.505,Work with Tablet,
00:11:14,1,5.410381,2.228981,0.505,Work with Tablet,
00:11:18,1,5.410381,2.228981,0.505,Work with Tablet,
00:11:20,1,5.410381,2.228981,0.505,Work with Tablet,
00:11:23,1,5.410381,2.228981,0.505,Work with Tablet,
00:11:27,1,5.410381,2.228981,0.505,Work with Tablet,
00:11:30,1,5.410381,2.228981,0.505,Work with Tablet,
00:11:33,1,5.410381,2.228981,0.505,Work with Tablet,
00:11:36,1,5.410381,2.228981,0.505,Work with Tablet,
00:11:38,1,5.410381,2.228981,0.505,Work with Tablet,
00:11:42,1,5.410381,2.228981,0.505,Work with Tablet,
00:11:56,1,5.410381,2.228981,0.505,Work with Tablet,
00:11:59,1,5.410381,2.228981,0.505,Work with Tablet,
00:12:03,1,5.410381,2.228981,0.505,Work with Tablet,
00:12:06,1,5.410381,2.228981,0.505,Work with Tablet,
00:12:24,1,5.410381,2.228981,0.505,Work with Tablet,
00:12:30,1,5.410381,2.228981,0.505,Work with Tablet,
00:12:37,1,5.410381,2.228981,0.505,Work with Tablet,
00:12:43,1,5.410381,2.228981,0.505,Work with Tablet,
00:12:46,1,5.410381,2.228981,0.505,Work with Tablet,
00:12:57,1,5.410381,2.228981,0.505,Work with Tablet,
00:13:15,1,5.410381,2.228981,0.505,Work with Tablet,
00:13:18,1,5.410381,2.228981,0.505,Work with Tablet,
00:13:30,1,5.410381,2.228981,0.505,Work with Tablet,
00:13:37,1,5.410381,2.228981,0.505,Work with Tablet,
00:13:40,1,5.410381,2.228981,0.505,Work with Tablet,
00:13:58,1,5.410381,2.228981,0.505,Work with Tablet,
00:14:06,1,5.410381,2.228981,0.505,Work with Tablet,
00:14:16,1,5.410381,2.228981,0.505,Work with Tablet,
00:14:23,1,5.410381,2.228981,0.505,Work with Tablet,
00:14:42,1,5.410381,2.228981,0.505,Work with Tablet,
00:14:45,1,5.410381,2.228981,0.505,Work with Tablet,
00:14:51,1,5.410381,2.228981,0.505,Work with Tablet,
00:15:05,1,5.410381,2.228981,0.505,Work with Tablet,
00:15:13,1,5.410381,2.228981,0.505,Work with Tablet,
00:15:19,1,5.410381,2.228981,0.505,Work with Tablet,
00:15:26,1,5.410381,2.228981,0.505,Work with Tablet,
00:15:40,1,5.410381,2.228981,0.505,Work with Tablet,
00:15:55,1,5.410381,2.228981,0.505,Work with Tablet,
00:16:09,1,5.410381,2.228981,0.505,Work with Tablet,
00:16:20,1,5.410381,2.228981,0.505,Work with Tablet,
00:16:47,1,5.410381,2.228981,0.505,Work with Tablet,
00:17:02,1,5.410381,2.228981,0.505,Work with Tablet,
00:17:25,1,5.410381,2.228981,0.505,Work with Tablet,
00:17:27,1,5.410381,2.228981,0.505,Work with Tablet,
00:17:34,1,5.410381,2.228981,0.505,Work with Tablet,
00:17:59,1,5.410381,2.228981,0.505,Work with Tablet,
00:18:08,1,5.410381,2.228981,0.505,Work with Tablet,
00:18:17,1,5.410381,2.228981,0.505,Work with Tablet,
00:18:24,1,5.410381,2.228981,0.505,Work with Tablet,
00:18:27,1,5.410381,2.228981,0.505,Work with Tablet,
00:18:38,1,5.410381,2.228981,0.505,Work with Tablet,
00:18:41,1,5.410381,2.228981,0.505,Work with Tablet,
00:18:43,1,5.410381,2.228981,0.505,Work with Tablet,
