Time,Agent,x,y,z,Action
00:00:02,1,1.202332,8.375758,0.505,Prepare,
00:00:09,1,0.9400002,9.342283,0.505,Prepare,
00:00:12,1,0.9400002,9.342283,0.505,Prepare,
00:00:15,1,0.9400002,9.342283,0.505,Prepare,
00:00:21,1,0.9400002,9.342283,0.505,Prepare,
00:00:24,1,0.9400002,9.342283,0.505,Prepare,
00:00:27,1,0.9400002,9.342283,0.505,Prepare,
00:00:33,1,0.9400002,9.342283,0.505,Start Session,
00:00:36,1,4.04,5.86,0.515,Start Session,
00:00:39,1,4.04,5.86,0.515,Start Session,
00:00:42,1,4.04,5.86,0.515,Start Session,
00:00:45,1,4.04,5.86,0.515,Start Session,
00:00:51,1,4.04,5.86,0.515,Start Session,
00:00:54,1,4.04,5.86,0.515,Start Session,
00:00:57,1,4.04,5.86,0.515,Start Session,
00:01:00,1,4.04,5.86,0.515,Start Session,
00:01:03,1,4.04,5.86,0.515,Start Session,
00:01:06,1,4.04,5.86,0.515,Start Session,
00:01:09,1,4.04,5.86,0.515,Start Session,
00:01:12,1,4.04,5.86,0.515,Start Session,
00:01:15,1,4.04,5.86,0.515,Start Session,
00:01:18,1,4.04,5.86,0.515,Start Session,
00:01:24,1,4.04,5.86,0.515,Start Session,
00:01:34,1,4.04,5.86,0.515,Start Session,
00:01:38,1,4.04,5.86,0.515,Start Session,
00:01:40,1,4.04,5.86,0.515,Start Session,
00:01:43,1,4.04,5.86,0.515,Start Session,
00:01:47,1,4.04,5.86,0.515,Start Session,
00:01:49,1,4.04,5.86,0.515,Start Session,
00:01:53,1,4.04,5.86,0.515,Start Session,
00:01:55,1,4.04,5.86,0.515,Start Session,
00:01:58,1,4.04,5.86,0.515,Start Session,
00:02:02,1,4.04,5.86,0.515,Start Session,
00:02:05,1,4.04,5.86,0.515,Start Session,
00:02:08,1,4.04,5.86,0.515,Start Session,
00:02:11,1,4.04,5.86,0.515,Start Session,
00:02:14,1,4.04,5.86,0.515,Start Session,
00:02:16,1,4.04,5.86,0.515,Start Session,
00:02:20,1,4.04,5.86,0.515,Start Session,
00:02:23,1,4.04,5.86,0.515,Start Session,
00:02:26,1,4.04,5.86,0.515,Start Session,
00:02:29,1,4.04,5.86,0.515,Start Session,
00:02:31,1,4.04,5.86,0.515,Start Session,
00:02:35,1,4.04,5.86,0.515,Start Session,
00:02:37,1,4.04,5.86,0.515,Start Session,
00:02:41,1,4.04,5.86,0.515,Start Session,
00:02:43,1,4.04,5.86,0.515,Start Session,
00:02:47,1,4.04,5.86,0.515,Start Session,
00:02:49,1,4.04,5.86,0.515,Start Session,
00:02:52,1,4.04,5.86,0.515,Start Session,
00:02:55,1,4.04,5.86,0.515,Start Session,
00:02:58,1,4.04,5.86,0.515,Start Session,
00:03:01,1,4.04,5.86,0.515,Start Session,
00:03:04,1,4.04,5.86,0.515,Start Session,
00:03:07,1,4.04,5.86,0.515,Start Session,
00:03:10,1,4.04,5.86,0.515,Start Session,
00:03:14,1,4.04,5.86,0.515,Start Session,
00:03:16,1,4.04,5.86,0.515,Start Session,
00:03:20,1,4.04,5.86,0.515,Start Session,
00:03:23,1,4.04,5.86,0.515,Start Session,
00:03:25,1,4.04,5.86,0.515,Start Session,
00:03:29,1,4.04,5.86,0.515,Start Session,
00:03:32,1,4.04,5.86,0.515,Start Session,
00:03:35,1,4.04,5.86,0.515,Start Session,
00:03:38,1,4.04,5.86,0.515,Start Session,
00:03:40,1,4.04,5.86,0.515,Start Session,
00:03:44,1,4.04,5.86,0.515,Start Session,
00:03:46,1,4.04,5.86,0.515,Start Session,
00:03:50,1,4.04,5.86,0.515,Start Session,
00:03:53,1,4.04,5.86,0.515,Start Session,
00:03:56,1,4.04,5.86,0.515,Start Session,
00:03:58,1,4.04,5.86,0.515,Start Session,
00:04:01,1,4.04,5.86,0.515,Start Session,
00:04:04,1,4.04,5.86,0.515,Start Session,
00:04:07,1,4.04,5.86,0.515,Start Session,
00:04:11,1,4.04,5.86,0.515,Start Session,
00:04:14,1,4.04,5.86,0.515,Start Session,
00:04:16,1,4.04,5.86,0.515,Start Session,
00:04:20,1,4.04,5.86,0.515,Start Session,
00:04:22,1,4.04,5.86,0.515,Start Session,
00:04:25,1,4.04,5.86,0.515,Start Session,
00:04:29,1,4.04,5.86,0.515,Start Session,
00:04:31,1,4.04,5.86,0.515,Start Session,
00:04:35,1,4.04,5.86,0.515,Start Session,
00:04:37,1,4.04,5.86,0.515,Start Session,
00:04:41,1,4.04,5.86,0.515,Start Session,
