Time,Agent,x,y,z,Action
00:00:02,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:58,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:01:01,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:01:03,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:01:24,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:02:16,1,0.6200001,4.326398,0.505,Wash_Hands_Wash_Hands,
00:02:25,1,0.6200001,4.326398,0.505,Wash_Hands_Wash_Hands,
00:02:28,1,0.6200001,4.326398,0.505,Wash_Hands_Wash_Hands,
00:02:31,1,0.6200001,4.326398,0.505,Wash_Hands_Wash_Hands,
00:03:00,1,0.6200001,4.326398,0.505,Wash_Hands_Wash_Hands,
00:03:03,1,0.6200001,4.326398,0.505,Wash_Hands_Wash_Hands,
00:03:10,1,0.6200001,4.326398,0.505,Wash_Hands_Wash_Hands,
00:03:17,1,0.6200001,4.326398,0.505,Wash_Hands_Wash_Hands,
00:03:22,1,0.6200001,4.326398,0.505,Wash_Hands_Wash_Hands,
00:03:30,1,0.6200001,4.326398,0.505,Wash_Hands_Wash_Hands,
00:03:32,1,0.6200001,4.326398,0.505,Wash_Hands_Wash_Hands,
00:03:40,1,0.6200001,4.326398,0.505,Wash_Hands_Wash_Hands,
00:03:43,1,0.6200001,4.326398,0.505,Wash_Hands_Wash_Hands,
00:03:45,1,0.6200001,4.326398,0.505,Wash_Hands_Wash_Hands,
00:03:48,1,0.6200001,4.326398,0.505,Wash_Hands_Wash_Hands,
00:04:04,1,0.6200001,4.326398,0.505,Wash_Hands_Wash_Hands,
00:04:07,1,2.940073,3.977935,0.505,Sit_Talking on the phone,
00:04:09,1,5.54,3.34,0.505,Sit_Talking on the phone,
00:04:12,1,5.413634,2.4762,0.505,Sit_Talking on the phone,
00:04:48,1,3.630924,1.7568,0.505,Sit_Talking on the phone,
00:04:51,1,3.630924,1.7568,0.505,Sit_Talking on the phone,
00:05:02,1,3.630924,1.7568,0.505,Sit_Talking on the phone,
00:05:33,1,3.630924,1.7568,0.505,Sit_Talking on the phone,
00:05:57,1,3.630924,1.7568,0.505,Sit_Talking on the phone,
00:06:37,1,3.630924,1.7568,0.505,Sit_Talking on the phone,
00:06:48,1,3.630924,1.7568,0.505,Sit_Talking on the phone,
00:07:07,1,3.630924,1.7568,0.505,Sit_Talking on the phone,
00:07:10,1,3.630924,1.7568,0.505,Sit_Talking on the phone,
00:07:30,1,3.630924,1.7568,0.505,Sit_Talking on the phone,
00:08:02,1,3.630924,1.7568,0.505,Sit_Talking on the phone,
00:08:04,1,3.630924,1.7568,0.505,Sit_Talking on the phone,
00:08:13,1,3.630924,1.7568,0.505,Sit_Talking on the phone,
00:08:20,1,3.630924,1.7568,0.505,Sit_Talking on the phone,
00:08:39,1,3.630924,1.7568,0.505,Sit_Talking on the phone,
00:08:42,1,3.630924,1.7568,0.505,Sit_Talking on the phone,
00:08:44,1,3.630924,1.7568,0.505,Sit_Talking on the phone,
00:08:57,1,3.630924,1.7568,0.505,Sit_Talking on the phone,
00:09:16,1,3.630924,1.7568,0.505,Sit_Talking on the phone,
00:09:23,1,3.630924,1.7568,0.505,Sit_Talking on the phone,
00:09:39,1,3.630924,1.7568,0.505,Sit_Talking on the phone,
00:09:42,1,3.630924,1.7568,0.505,Sit_Talking on the phone,
00:09:49,1,3.630924,1.7568,0.505,Sit_Talking on the phone,
00:09:52,1,3.630924,1.7568,0.505,Sit_Talking on the phone,
