Time,Agent,x,y,z,Action
00:00:02,1,2.2,4.7,0.505,Toilet_Toilet,
00:00:05,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:08,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:10,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:13,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:15,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:18,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:20,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:23,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:25,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:28,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:30,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:33,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:35,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:38,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:40,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:43,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:45,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:48,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:50,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:53,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:55,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:58,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:01:00,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:01:03,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:01:05,1,0.177942,5.715415,0.505,Exercise_Exercise,
00:01:08,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:01:10,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:01:13,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:01:15,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:01:18,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:01:20,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:01:23,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:01:25,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:01:28,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:01:30,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:01:33,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:01:35,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:01:38,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:01:40,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:01:43,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:01:45,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:01:48,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:01:50,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:01:53,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:01:55,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:01:58,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:00,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:03,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:05,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:08,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:10,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:13,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:15,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:18,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:20,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:23,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:25,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:28,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:30,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:33,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:35,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:38,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:40,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:43,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:45,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:48,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:50,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:53,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:55,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:02:58,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:03:00,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:03:03,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:03:05,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:03:08,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:03:11,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:03:13,1,3.035988,5.022054,0.505,Exercise_Exercise,
00:03:16,1,3.035988,5.022054,0.505,Exercise_Exercise,
