Time,Agent,x,y,z,Action
00:00:06,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:09,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:11,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:14,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:16,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:18,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:21,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:24,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:26,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:37,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:40,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:42,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:45,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:47,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:00:59,1,0.177942,5.715415,0.505,Toilet_Toilet,
00:01:05,1,1.569179,5.885586,0.505,Exercise_Exercise,
00:01:08,1,4.646311,7.800538,0.5124554,Exercise_Exercise,
00:01:10,1,4.646311,7.800538,0.5124554,Exercise_Exercise,
00:01:13,1,4.646311,7.800538,0.5124554,Exercise_Exercise,
00:01:15,1,4.646311,7.800538,0.5124554,Exercise_Exercise,
00:01:18,1,4.646311,7.800538,0.5124554,Exercise_Exercise,
00:01:20,1,4.646311,7.800538,0.5124554,Exercise_Exercise,
00:01:27,1,4.646311,7.800538,0.5124554,Exercise_Exercise,
00:01:30,1,4.646311,7.800538,0.5124554,Exercise_Exercise,
00:01:32,1,4.646311,7.800538,0.5124554,Exercise_Exercise,
00:01:35,1,4.646311,7.800538,0.5124554,Exercise_Exercise,
00:01:42,1,4.646311,7.800538,0.5124554,Exercise_Exercise,
00:01:45,1,4.646311,7.800538,0.5124554,Exercise_Exercise,
00:01:47,1,4.646311,7.800538,0.5124554,Exercise_Exercise,
00:01:50,1,4.646311,7.800538,0.5124554,Exercise_Exercise,
00:01:57,1,4.646311,7.800538,0.5124554,Exercise_Exercise,
00:02:00,1,4.646311,7.800538,0.5124554,Exercise_Exercise,
00:02:02,1,4.646311,7.800538,0.5124554,Exercise_Exercise,
00:02:05,1,4.646311,7.800538,0.5124554,Exercise_Exercise,
00:02:16,1,4.646311,7.800538,0.5124554,Exercise_Exercise,
