[INFO] [2021-10-31 14:23:34,510] [OpenBox-Shadan] Iteration 1, objective value: [100.0].
[INFO] [2021-10-31 14:23:39,887] [OpenBox-Shadan] Iteration 1, objective value: [100.0].
[INFO] [2021-10-31 14:24:06,699] [OpenBox-Shadan] Iteration 1, objective value: [100.0].
[INFO] [2021-10-31 14:24:09,581] [OpenBox-Shadan] Iteration 2, objective value: [49.7625155784561].
[INFO] [2021-10-31 14:24:44,061] [OpenBox-Shadan] Iteration 2, objective value: [45.76076245876142].
[INFO] [2021-10-31 14:24:49,818] [OpenBox-Shadan] Iteration 3, objective value: [49.45431545435073].
[INFO] [2021-10-31 14:25:18,862] [OpenBox-Shadan] Iteration 3, objective value: [52.530233979112865].
[INFO] [2021-10-31 14:25:29,362] [OpenBox-Shadan] Iteration 4, objective value: [47.063041143683606].
[INFO] [2021-10-31 14:25:52,563] [OpenBox-Shadan] Iteration 4, objective value: [38.887735470869224].
[INFO] [2021-10-31 14:26:08,804] [OpenBox-Shadan] Iteration 5, objective value: [50.11568891894763].
[INFO] [2021-10-31 14:26:27,362] [OpenBox-Shadan] Iteration 5, objective value: [52.15978065735967].
[INFO] [2021-10-31 14:27:00,247] [OpenBox-Shadan] Iteration 6, objective value: [53.169338787306295].
[INFO] [2021-10-31 14:27:04,322] [OpenBox-Shadan] Iteration 6, objective value: [52.83807743619223].
[INFO] [2021-10-31 14:27:33,551] [OpenBox-Shadan] Iteration 7, objective value: [57.57663092195978].
[INFO] [2021-10-31 14:27:56,040] [OpenBox-Shadan] Iteration 7, objective value: [47.67282305733034].
[INFO] [2021-10-31 14:28:05,831] [OpenBox-Shadan] Iteration 8, objective value: [52.03647936271632].
[INFO] [2021-10-31 14:28:40,863] [OpenBox-Shadan] Iteration 9, objective value: [47.647844708155674].
[INFO] [2021-10-31 14:28:50,626] [OpenBox-Shadan] Iteration 8, objective value: [47.857400706384844].
[INFO] [2021-10-31 14:29:05,977] [OpenBox-Shadan] Iteration 10, objective value: [57.06893981240969].
[INFO] [2021-10-31 14:29:37,454] [OpenBox-Shadan] Iteration 11, objective value: [51.41389415417962].
[INFO] [2021-10-31 14:29:37,614] [OpenBox-Shadan] Iteration 9, objective value: [53.592209539193945].
[INFO] [2021-10-31 14:30:14,125] [OpenBox-Shadan] Iteration 12, objective value: [53.79768209052499].
[INFO] [2021-10-31 14:30:21,283] [OpenBox-Shadan] Iteration 10, objective value: [43.56730325466679].
[INFO] [2021-10-31 14:30:46,146] [OpenBox-Shadan] Iteration 13, objective value: [52.60183756406111].
[INFO] [2021-10-31 14:31:00,522] [OpenBox-Shadan] Iteration 11, objective value: [50.420001637553675].
[INFO] [2021-10-31 14:31:27,792] [OpenBox-Shadan] Iteration 14, objective value: [46.02936988470503].
[INFO] [2021-10-31 14:31:40,253] [OpenBox-Shadan] Iteration 12, objective value: [49.56468376108406].
[INFO] [2021-10-31 14:32:05,350] [OpenBox-Shadan] Iteration 15, objective value: [54.74619653314776].
[INFO] [2021-10-31 14:32:32,499] [OpenBox-Shadan] Iteration 13, objective value: [48.10673730326054].
[INFO] [2021-10-31 14:32:47,877] [OpenBox-Shadan] Iteration 16, objective value: [46.15917594896995].
[INFO] [2021-10-31 14:33:17,375] [OpenBox-Shadan] Iteration 14, objective value: [51.44084102487048].
[INFO] [2021-10-31 14:33:26,634] [OpenBox-Shadan] Iteration 17, objective value: [49.70786907711775].
[INFO] [2021-10-31 14:33:59,445] [OpenBox-Shadan] Iteration 18, objective value: [51.28477848438342].
[INFO] [2021-10-31 14:34:00,279] [OpenBox-Shadan] Iteration 15, objective value: [57.069569908600734].
[INFO] [2021-10-31 14:34:37,030] [OpenBox-Shadan] Iteration 19, objective value: [47.8522990666268].
[INFO] [2021-10-31 14:34:41,290] [OpenBox-Shadan] Iteration 16, objective value: [43.26284511755979].
[INFO] [2021-10-31 14:35:17,705] [OpenBox-Shadan] Iteration 20, objective value: [45.08181609550568].
[INFO] [2021-10-31 14:35:23,201] [OpenBox-Shadan] Iteration 17, objective value: [42.74751214275362].
[INFO] [2021-10-31 14:35:56,799] [OpenBox-Shadan] Iteration 21, objective value: [50.37773845116173].
[INFO] [2021-10-31 14:36:02,739] [OpenBox-Shadan] Iteration 18, objective value: [50.89544843741196].
[INFO] [2021-10-31 14:36:40,007] [OpenBox-Shadan] Iteration 22, objective value: [58.977766170385635].
[INFO] [2021-10-31 14:36:48,744] [OpenBox-Shadan] Iteration 19, objective value: [49.70294241245094].
[INFO] [2021-10-31 14:37:15,470] [OpenBox-Shadan] Iteration 23, objective value: [49.97094661987037].
